tempPer1Hour,rollPer1Hour,pitchPer1Hour,YawPer1Hour,secPer1Hour,startTimeStamp,hours,quant,hour_num
42,147.84,26.666,91.438,7202,2/22/2020 10:00,1,1,1
41.25,26.406,20.428,34.097,10802,2/22/2020 10:00,2,1,2
42,66.822,31.027,77.155,14402,2/22/2020 10:00,3,1,3
41.75,147.31,40.074,103.06,18002,2/22/2020 10:00,4,1,4
40.25,151.56,30.21,109.78,21602,2/22/2020 10:00,5,1,5
41.25,99.469,55.634,156.65,25202,2/22/2020 10:00,6,1,6
42.25,31.341,21.725,31.22,28802,2/22/2020 10:00,7,1,7
41.75,32.807,20.331,36.805,32402,2/22/2020 10:00,8,1,8
40.75,25.073,17.662,35.065,36002,2/22/2020 10:00,9,1,9
41.25,36.977,20.85,37.124,39602,2/22/2020 10:00,10,1,10
40.75,36.58,18.956,50.27,43202,2/22/2020 10:00,11,1,11
40.75,47.488,25.835,68.117,46802,2/22/2020 10:00,12,1,12
40.25,31.617,21.817,55.049,50402,2/22/2020 10:00,13,1,13
41.25,21.838,19.913,46.786,54002,2/22/2020 10:00,14,1,14
40.75,38.516,23.392,40.903,57602,2/22/2020 10:00,15,1,15
41.25,19.95,17.863,26.519,61202,2/22/2020 10:00,16,1,16
41.75,78.212,20.753,31.896,64802,2/22/2020 10:00,17,1,17
41.75,42.604,17.048,29.07,68402,2/22/2020 10:00,18,1,18
41.75,421.39,24.309,58.491,72002,2/22/2020 10:00,19,1,19
40.75,1278.9,47.522,143.96,75602,2/22/2020 10:00,20,1,20
42.5,68.501,25.256,37.999,79202,2/22/2020 10:00,21,1,21
40.25,95.811,34.421,99.456,82802,2/22/2020 10:00,22,1,22
39.75,93.758,34.892,92.07,86402,2/22/2020 10:00,23,1,23
41.25,72.138,31.545,78.733,90002,2/22/2020 10:00,24,1,24
41,102.02,32.66,65.264,93602,2/22/2020 10:00,25,1,1
42.25,186.62,51.828,319.65,97202,2/22/2020 10:00,26,1,2
40.75,78.49,26.43,42.683,100800,2/22/2020 10:00,27,1,3
40.25,119.12,51.545,118.34,104400,2/22/2020 10:00,28,1,4
39.5,85.29,33.18,106.85,108000,2/22/2020 10:00,29,1,5
41.25,69.402,37.211,232.29,111600,2/22/2020 10:00,30,1,6
39.75,39.74,23.401,53.696,115200,2/22/2020 10:00,31,1,7
40.75,17.945,15.156,24.572,118800,2/22/2020 10:00,32,1,8
41.25,16.104,17.057,25.144,122400,2/22/2020 10:00,33,1,9
41.25,54.992,28.135,48.206,126000,2/22/2020 10:00,34,1,10
41.25,42.598,19.126,31.986,129600,2/22/2020 10:00,35,1,11
40.75,24.684,20.87,30.771,133200,2/22/2020 10:00,36,1,12
