tempPer1Hour,rollPer1Hour,pitchPer1Hour,YawPer1Hour,secPer1Hour,startTimeStamp,realDate,hour_plus_one,hour,quant,hour_num
41.5,194.66,73.632,251.21,3602,22-Feb-20,.,2,1,1,1
42.5,95.011,36.512,129.6,7202,22-Feb-20,.,3,2,1,2
42.5,81.436,36.929,61.795,10802,22-Feb-20,.,4,3,1,3
43.75,699.37,41.925,55.424,14402,22-Feb-20,.,5,4,1,4
44.25,168.36,52.196,127.54,18002,22-Feb-20,.,6,5,1,5
41.75,42.527,35.412,32.33,21602,22-Feb-20,.,7,6,1,6
42.5,143.05,44.295,48.146,25202,22-Feb-20,.,8,7,1,7
43.5,207.28,51.896,96.546,28802,22-Feb-20,.,9,8,1,8
42.5,97.008,33.485,78.271,32402,22-Feb-20,.,10,9,1,9
43,170.49,49.334,133.47,36002,22-Feb-20,.,11,10,1,10
43.25,68.416,29.343,206.39,39602,22-Feb-20,.,12,11,1,11
43.25,82.881,28.856,98.311,43202,22-Feb-20,.,13,12,1,12
43.25,99.878,39.461,56.196,46802,22-Feb-20,.,14,13,1,13
43.75,237.46,42.204,106.21,50402,22-Feb-20,.,15,14,1,14
43.5,409.88,29.462,41.895,54002,22-Feb-20,.,16,15,1,15
43.5,65.388,32.474,33.432,57602,22-Feb-20,.,17,16,1,16
43.5,50.586,29.745,23.355,61202,22-Feb-20,.,18,17,1,17
43,224.78,35.1,39.956,64802,22-Feb-20,.,19,18,1,18
43,168.27,49.749,123.1,68402,22-Feb-20,.,20,19,1,19
42.5,90.888,38.702,91.579,72002,22-Feb-20,.,21,20,1,20
43,37.765,30.994,40.846,75602,22-Feb-20,.,22,21,1,21
43,103.65,35.235,69.32,79202,22-Feb-20,.,23,22,1,22
42.75,94.367,29.1,73.465,82802,22-Feb-20,.,24,23,1,23
43.75,77.982,37.861,119.3,86402,22-Feb-20,.,25,24,1,24
43.25,362.97,46.134,95.921,90002,22-Feb-20,.,26,25,1,1
43.25,117.7,41.173,100.04,93602,22-Feb-20,.,27,26,1,2
41.25,166.93,36.021,96.806,97202,22-Feb-20,.,28,27,1,3
41,128.23,43.404,83.67,100800,22-Feb-20,.,29,28,1,4
44,97.332,37.546,111.44,104400,22-Feb-20,.,30,29,1,5
43,136.54,66.278,156.5,108000,22-Feb-20,.,31,30,1,6
43.5,147.89,52.394,131.57,111600,22-Feb-20,.,32,31,1,7
43.5,227.53,45.46,120.5,115200,22-Feb-20,.,33,32,1,8
43,118.11,36.209,101.4,118800,22-Feb-20,.,34,33,1,9
43,109.33,31.995,74.719,122400,22-Feb-20,.,35,34,1,10
43,164.15,52.881,94.217,126000,22-Feb-20,.,36,35,1,11
43.5,275.13,46.038,88.368,129600,22-Feb-20,.,37,36,1,12
43,67.364,40.275,137.94,133200,22-Feb-20,.,38,37,1,13
43,107.69,41.789,111.73,136800,22-Feb-20,.,39,38,1,14
43,140.97,32.754,71.195,140400,22-Feb-20,.,40,39,1,15
43,119.96,33.966,84.512,144000,22-Feb-20,.,41,40,1,16
40.75,92.301,34.134,109.56,147600,22-Feb-20,.,42,41,1,17
40.25,92.164,39.405,77.992,151200,22-Feb-20,.,43,42,1,18
43.75,265.56,50.994,1085.6,154800,22-Feb-20,.,44,43,1,19
43.75,743.35,35.006,85.36,158400,22-Feb-20,.,45,44,1,20
43.25,192.24,45.71,115.11,162000,22-Feb-20,.,46,45,1,21
43,119.58,49.016,184.89,165600,22-Feb-20,.,47,46,1,22
41.5,100.88,36.191,48.661,169200,22-Feb-20,.,48,47,1,23
43.5,131.71,45.611,132.45,172800,22-Feb-20,.,49,48,1,24
42.25,94.71,45.169,39.92,176400,22-Feb-20,.,50,49,1,1
42.75,268.47,39.153,87.593,180000,22-Feb-20,.,51,50,1,2
43.75,93.64,39.985,80.61,183600,22-Feb-20,.,52,51,1,3
41.75,131.48,54.237,127.72,187200,22-Feb-20,.,53,52,1,4
43.75,126.57,52.876,256.98,190800,22-Feb-20,.,54,53,1,5
42.75,153.15,56.217,117.36,194400,22-Feb-20,.,55,54,1,6
42.5,148.28,57.861,87.361,198000,22-Feb-20,.,56,55,1,7
43,121.67,42.875,99.21,201600,22-Feb-20,.,57,56,1,8
42.5,106.95,45.748,135.25,205200,22-Feb-20,.,58,57,1,9
